,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
524,210241,2445161.0,320623631,4.3.5.60,10/30/2018 10:42,MDT,,,10/30/2018 10:42,MDT,,,,,,2,PACKSIZE / CLEAN AIR 14,0024:B100:0002:7D51,Leaders For Clean Air,10/30/2018 10:42,MDT,10/30/2018 11:20,MDT,0:38:09,0:37:33,1.943445,0.0,0.244,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74231339,-111.98107150000001,USD,,Plug Out at Vehicle,84074.0
525,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 10:42,MDT,10/30/2018 10:44,MDT,3.155,2.37,0.092804,2,,,,,,,,,,,,,,,,,,,,,,,,,
526,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 10:45,MDT,10/30/2018 10:59,MDT,3.147,3.125,0.781337,2,,,,,,,,,,,,,,,,,,,,,,,,,
527,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 11:00,MDT,10/30/2018 11:14,MDT,3.1430000000000002,3.1010000000000004,0.775229,2,,,,,,,,,,,,,,,,,,,,,,,,,
528,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 11:15,MDT,10/30/2018 11:20,MDT,3.048,3.069,0.294075,2,,,,,,,,,,,,,,,,,,,,,,,,,
529,210241,2445161.0,320623631,4.3.5.60,,,10/30/2018 11:20,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
888,212301,2445161.0,320021901,4.3.5.60,10/29/2018 13:26,MDT,,,10/29/2018 13:26,MDT,,,,,,2,PACKSIZE / CLEAN AIR 2,0024:B100:0002:7F83,Leaders For Clean Air,10/29/2018 13:26,MDT,10/29/2018 14:54,MDT,1:28:38,1:26:17,8.455029,0.0,1.061,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,USD,,Plug Out at Vehicle,84074.0
889,212301,2445161.0,320021901,4.3.5.60,,,,,10/29/2018 13:26,MDT,10/29/2018 13:29,MDT,6.11,5.699,0.368875,2,,,,,,,,,,,,,,,,,,,,,,,,,
890,212301,2445161.0,320021901,4.3.5.60,,,,,10/29/2018 13:30,MDT,10/29/2018 13:44,MDT,6.085,5.972,1.493027,2,,,,,,,,,,,,,,,,,,,,,,,,,
891,212301,2445161.0,320021901,4.3.5.60,,,,,10/29/2018 13:45,MDT,10/29/2018 13:59,MDT,5.9479999999999995,5.9239999999999995,1.480968,2,,,,,,,,,,,,,,,,,,,,,,,,,
