,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
41959,210241,2039101,249789451,4.3.4.13 Build 83512 CT4knandflash,6/13/2018 10:21,MDT,,,6/13/2018 10:21,MDT,,,,,,2,PACKSIZE / CLEAN AIR 14,0024:B100:0002:7D51,Leaders For Clean Air,6/13/2018 10:21,MDT,6/13/2018 10:44,MDT,0:23:27,0:23:14,2.2447169999999996,0.0,0.282,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74231339,-111.98107150000001,USD,,Plug Out at Vehicle,84123.0
41960,210241,2039101,249789451,4.3.4.13 Build 83512 CT4knandflash,,,,,6/13/2018 10:21,MDT,6/13/2018 10:29,MDT,5.86,5.648,0.840924,2,,,,,,,,,,,,,,,,,,,,,,,,,
41961,210241,2039101,249789451,4.3.4.13 Build 83512 CT4knandflash,,,,,6/13/2018 10:30,MDT,6/13/2018 10:44,MDT,5.84,5.822,1.403793,2,,,,,,,,,,,,,,,,,,,,,,,,,
41962,210241,2039101,249789451,4.3.4.13 Build 83512 CT4knandflash,,,6/13/2018 10:44,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
42538,212301,2039101,248485801,4.3.4.13 Build 83512 CT4knandflash,6/11/2018 10:55,MDT,,,6/11/2018 10:55,MDT,,,,,,2,PACKSIZE / CLEAN AIR 2,0024:B100:0002:7F83,Leaders For Clean Air,6/11/2018 10:55,MDT,6/11/2018 11:10,MDT,0:14:43,0:14:28,1.41416,0.0,0.177,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,USD,,Plug Out at Vehicle,84123.0
42539,212301,2039101,248485801,4.3.4.13 Build 83512 CT4knandflash,,,,,6/11/2018 10:55,MDT,6/11/2018 10:59,MDT,6.01,5.593999999999999,0.433562,2,,,,,,,,,,,,,,,,,,,,,,,,,
42540,212301,2039101,248485801,4.3.4.13 Build 83512 CT4knandflash,,,,,6/11/2018 11:00,MDT,6/11/2018 11:10,MDT,5.97,5.874,0.980598,2,,,,,,,,,,,,,,,,,,,,,,,,,
42541,212301,2039101,248485801,4.3.4.13 Build 83512 CT4knandflash,,,6/11/2018 11:10,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
43478,210241,2039101,246753081,4.3.4.13 Build 83512 CT4knandflash,6/7/2018 11:13,MDT,,,6/7/2018 11:13,MDT,,,,,,1,PACKSIZE / CLEAN AIR 14,0024:B100:0002:7D51,Leaders For Clean Air,6/7/2018 11:13,MDT,6/7/2018 11:38,MDT,0:24:33,0:24:00,1.958002,0.0,0.24600000000000002,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74231339,-111.98107150000001,USD,,Plug Out at Vehicle,84123.0
43479,210241,2039101,246753081,4.3.4.13 Build 83512 CT4knandflash,,,,,6/7/2018 11:13,MDT,6/7/2018 11:14,MDT,5.938,2.287,0.041926,1,,,,,,,,,,,,,,,,,,,,,,,,,
43480,210241,2039101,246753081,4.3.4.13 Build 83512 CT4knandflash,,,,,6/7/2018 11:15,MDT,6/7/2018 11:29,MDT,5.945,5.825,1.456278,1,,,,,,,,,,,,,,,,,,,,,,,,,
43481,210241,2039101,246753081,4.3.4.13 Build 83512 CT4knandflash,,,,,6/7/2018 11:30,MDT,6/7/2018 11:38,MDT,4.742,3.252,0.45979799999999993,1,,,,,,,,,,,,,,,,,,,,,,,,,
43482,210241,2039101,246753081,4.3.4.13 Build 83512 CT4knandflash,,,6/7/2018 11:38,MDT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
44181,204579,2039101,245504671,4.3.4.13 Build 83512 CT4knandflash,6/5/2018 10:40,MDT,,,6/5/2018 10:40,MDT,,,,,,2,PACKSIZE / CLEAN AIR 5,0024:B100:0002:776D,Leaders For Clean Air,6/5/2018 10:40,MDT,6/5/2018 11:04,MDT,0:24:14,0:24:05,1.936423,0.0,0.243,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74240112,-111.9815903,USD,,Plug Out at Vehicle,84123.0
44182,204579,2039101,245504671,4.3.4.13 Build 83512 CT4knandflash,,,,,6/5/2018 10:40,MDT,6/5/2018 10:44,MDT,5.86,5.456,0.43952299999999994,2,,,,,,,,,,,,,,,,,,,,,,,,,
44183,204579,2039101,245504671,4.3.4.13 Build 83512 CT4knandflash,,,,,6/5/2018 10:45,MDT,6/5/2018 10:59,MDT,5.8839999999999995,5.212999999999999,1.303124,2,,,,,,,,,,,,,,,,,,,,,,,,,
44184,204579,2039101,245504671,4.3.4.13 Build 83512 CT4knandflash,,,,,6/5/2018 11:00,MDT,6/5/2018 11:04,MDT,3.2510000000000003,2.623,0.193776,2,,,,,,,,,,,,,,,,,,,,,,,,,
44185,204579,2039101,245504671,4.3.4.13 Build 83512 CT4knandflash,,,6/5/2018 11:04,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
