,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
75167,212307,1619691,195980041,4.3.4.13 Build 83512 CT4knandflash,3/4/2018 20:11,MST,,,3/4/2018 20:11,MST,,,,,,1,PACKSIZE / CLEAN AIR 1,0024:B100:0002:7F82,Leaders For Clean Air,3/4/2018 20:11,MST,3/4/2018 20:39,MST,0:28:15,0:27:55,2.842094,0.0,0.35700000000000004,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.742420200000005,-111.98172,USD,,Plug Out at Vehicle,84119.0
75168,212307,1619691,195980041,4.3.4.13 Build 83512 CT4knandflash,,,,,3/4/2018 20:11,MST,3/4/2018 20:14,MST,6.165,5.4270000000000005,0.322623,1,,,,,,,,,,,,,,,,,,,,,,,,,
75169,212307,1619691,195980041,4.3.4.13 Build 83512 CT4knandflash,,,,,3/4/2018 20:15,MST,3/4/2018 20:29,MST,6.143,6.153,1.538147,1,,,,,,,,,,,,,,,,,,,,,,,,,
75170,212307,1619691,195980041,4.3.4.13 Build 83512 CT4knandflash,,,,,3/4/2018 20:30,MST,3/4/2018 20:39,MST,6.147,6.102,0.981324,1,,,,,,,,,,,,,,,,,,,,,,,,,
75171,212307,1619691,195980041,4.3.4.13 Build 83512 CT4knandflash,,,3/4/2018 20:39,MST,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
85980,204591,1619691,181828631,4.3.4.13 Build 83512 CT4knandflash,2/6/2018 19:24,MST,,,2/6/2018 19:24,MST,,,,,,1,PACKSIZE / CLEAN AIR 3,0024:B100:0002:7761,Leaders For Clean Air,2/6/2018 19:24,MST,2/6/2018 19:57,MST,0:32:56,0:32:43,3.356417,0.0,0.42100000000000004,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74237823,-111.98140719999999,USD,,Plug Out at Vehicle,84119.0
85981,204591,1619691,181828631,4.3.4.13 Build 83512 CT4knandflash,,,,,2/6/2018 19:24,MST,2/6/2018 19:29,MST,6.185,5.718999999999999,0.48296300000000003,1,,,,,,,,,,,,,,,,,,,,,,,,,
85982,204591,1619691,181828631,4.3.4.13 Build 83512 CT4knandflash,,,,,2/6/2018 19:30,MST,2/6/2018 19:44,MST,6.202999999999999,6.189,1.547239,1,,,,,,,,,,,,,,,,,,,,,,,,,
85983,204591,1619691,181828631,4.3.4.13 Build 83512 CT4knandflash,,,,,2/6/2018 19:45,MST,2/6/2018 19:57,MST,6.194,6.1610000000000005,1.326215,1,,,,,,,,,,,,,,,,,,,,,,,,,
85984,204591,1619691,181828631,4.3.4.13 Build 83512 CT4knandflash,,,2/6/2018 19:57,MST,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
85985,204591,1619691,181827971,4.3.4.13 Build 83512 CT4knandflash,2/6/2018 19:21,MST,,,2/6/2018 19:21,MST,,,,,,1,PACKSIZE / CLEAN AIR 3,0024:B100:0002:7761,Leaders For Clean Air,2/6/2018 19:21,MST,2/6/2018 19:23,MST,0:01:55,0:00:00,0.0,0.0,0.0,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74237823,-111.98140719999999,USD,,Plug Out at Vehicle,84119.0
85986,204591,1619691,181827971,4.3.4.13 Build 83512 CT4knandflash,,,,,2/6/2018 19:21,MST,2/6/2018 19:23,MST,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
85987,204591,1619691,181827971,4.3.4.13 Build 83512 CT4knandflash,,,2/6/2018 19:23,MST,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
85988,210225,1619691,181828011,4.3.4.13 Build 83512 CT4knandflash,2/6/2018 19:21,MST,,,2/6/2018 19:21,MST,,,,,,1,PACKSIZE / CLEAN AIR 13,0024:B100:0002:7D81,Leaders For Clean Air,2/6/2018 19:21,MST,2/6/2018 19:23,MST,0:02:00,0:00:00,0.0,0.0,0.0,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74252701,-111.9811096,USD,,Timeout,84119.0
85989,210225,1619691,181828011,4.3.4.13 Build 83512 CT4knandflash,,,,,2/7/2018 2:21,UTC,2/6/2018 19:23,MST,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
85990,210225,1619691,181828011,4.3.4.13 Build 83512 CT4knandflash,,,2/6/2018 19:23,MST,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
89193,204591,1619691,177854021,4.3.4.13 Build 83512 CT4knandflash,1/30/2018 15:05,MST,,,1/30/2018 15:05,MST,,,,,,1,PACKSIZE / CLEAN AIR 3,0024:B100:0002:7761,Leaders For Clean Air,1/30/2018 15:05,MST,1/30/2018 15:09,MST,0:03:34,0:02:56,0.28297100000000003,0.0,0.036000000000000004,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74237823,-111.98140719999999,USD,,CPS Server,84119.0
89194,204591,1619691,177854021,4.3.4.13 Build 83512 CT4knandflash,,,,,1/30/2018 15:05,MST,1/30/2018 15:09,MST,6.169,4.738,0.28297100000000003,1,,,,,,,,,,,,,,,,,,,,,,,,,
89195,204591,1619691,177854021,4.3.4.13 Build 83512 CT4knandflash,,,1/30/2018 15:09,MST,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
