,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
455,210213,527531.0,320724781,4.3.5.60,10/30/2018 12:56,MDT,,,10/30/2018 12:56,MDT,,,,,,2,PACKSIZE / CLEAN AIR 11,0024:B100:0002:7D84,Leaders For Clean Air,10/30/2018 12:56,MDT,10/30/2018 16:28,MDT,3:32:32,0:00:00,0.0,0.0,0.0,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74241257,-111.98162079999999,USD,,Plug Out at Vehicle,84121.0
456,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 12:56,MDT,10/30/2018 12:59,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
457,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 13:00,MDT,10/30/2018 13:14,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
458,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 13:15,MDT,10/30/2018 13:29,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
459,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 13:30,MDT,10/30/2018 13:44,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
460,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 13:45,MDT,10/30/2018 13:59,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
461,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 14:00,MDT,10/30/2018 14:14,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
462,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 14:15,MDT,10/30/2018 14:29,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
463,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 14:30,MDT,10/30/2018 14:44,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
464,210213,527531.0,320724781,4.3.5.60,,,,,10/30/2018 14:45,MDT,10/30/2018 14:59,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
