,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
398,212307,1990681.0,321063531,4.3.5.60,10/30/2018 23:40,MDT,,,10/30/2018 23:40,MDT,,,,,,1,PACKSIZE / CLEAN AIR 1,0024:B100:0002:7F82,Leaders For Clean Air,10/30/2018 23:40,MDT,10/31/2018 0:40,MDT,1:00:41,0:59:55,6.020654,0.0,0.7559999999999999,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.742420200000005,-111.98172,USD,,Plug Out at Vehicle,84081.0
399,212307,1990681.0,321063531,4.3.5.60,,,,,10/30/2018 23:40,MDT,10/30/2018 23:44,MDT,6.196000000000001,5.5520000000000005,0.43641599999999997,1,,,,,,,,,,,,,,,,,,,,,,,,,
400,212307,1990681.0,321063531,4.3.5.60,,,,,10/30/2018 23:45,MDT,10/30/2018 23:59,MDT,6.18,6.058,1.514472,1,,,,,,,,,,,,,,,,,,,,,,,,,
401,212307,1990681.0,321063531,4.3.5.60,,,,,10/31/2018 0:00,MDT,10/31/2018 0:14,MDT,6.102,6.035,1.5088489999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,
402,212307,1990681.0,321063531,4.3.5.60,,,,,10/31/2018 0:15,MDT,10/31/2018 0:29,MDT,6.105,5.995,1.49886,1,,,,,,,,,,,,,,,,,,,,,,,,,
403,212307,1990681.0,321063531,4.3.5.60,,,,,10/31/2018 0:30,MDT,10/31/2018 0:40,MDT,6.097,5.811,1.062057,1,,,,,,,,,,,,,,,,,,,,,,,,,
404,212307,1990681.0,321063531,4.3.5.60,,,10/31/2018 0:40,MDT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11325,204579,1990681.0,301138961,4.3.4.31 Build 83612 CT4knandflash,9/26/2018 0:04,MDT,,,9/26/2018 0:04,MDT,,,,,,1,PACKSIZE / CLEAN AIR 5,0024:B100:0002:776D,Leaders For Clean Air,9/26/2018 0:04,MDT,9/26/2018 0:49,MDT,0:44:51,0:44:08,4.4882599999999995,0.0,0.563,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74240112,-111.9815903,USD,,Plug Out at Vehicle,84081.0
11326,204579,1990681.0,301138961,4.3.4.31 Build 83612 CT4knandflash,,,,,9/26/2018 0:04,MDT,9/26/2018 0:14,MDT,6.235,5.907,1.064815,1,,,,,,,,,,,,,,,,,,,,,,,,,
11327,204579,1990681.0,301138961,4.3.4.31 Build 83612 CT4knandflash,,,,,9/26/2018 0:15,MDT,9/26/2018 0:29,MDT,6.151,6.107,1.5267600000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,
