,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
101664,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,12/19/2017 10:04,MST,,,12/19/2017 10:04,MST,,,,,,2,PACKSIZE / CLEAN AIR 8,0024:B100:0002:7D3D,Leaders For Clean Air,12/19/2017 10:04,MST,12/19/2017 11:35,MST,1:31:05,1:30:44,8.416319,0.0,1.056,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74251556,-111.9810257,USD,,Plug Out at Vehicle,84081.0
101665,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 10:04,MST,12/19/2017 10:14,MST,6.004,5.772,1.021355,2,,,,,,,,,,,,,,,,,,,,,,,,,
101666,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 10:15,MST,12/19/2017 10:29,MST,5.987,5.966,1.491491,2,,,,,,,,,,,,,,,,,,,,,,,,,
101667,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 10:30,MST,12/19/2017 10:44,MST,6.001,5.994,1.498426,2,,,,,,,,,,,,,,,,,,,,,,,,,
101668,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 10:45,MST,12/19/2017 10:59,MST,5.999,5.9670000000000005,1.4916639999999999,2,,,,,,,,,,,,,,,,,,,,,,,,,
101669,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 11:00,MST,12/19/2017 11:14,MST,5.985,5.933,1.483174,2,,,,,,,,,,,,,,,,,,,,,,,,,
101670,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 11:15,MST,12/19/2017 11:29,MST,5.897,4.5489999999999995,1.137161,2,,,,,,,,,,,,,,,,,,,,,,,,,
101671,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,,,12/19/2017 11:30,MST,12/19/2017 11:35,MST,3.5410000000000004,3.236,0.293048,2,,,,,,,,,,,,,,,,,,,,,,,,,
101672,210191,1187191.0,156055611,4.3.4.13 Build 83512 CT4knandflash,,,12/19/2017 11:35,MST,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
118611,212307,1187191.0,121063171,4.3.4.3 Build 83411 CT4knandflash,10/26/2017 12:39,MDT,,,10/26/2017 12:39,MDT,,,,,,2,PACKSIZE / CLEAN AIR 1,0024:B100:0002:7F82,Leaders For Clean Air,10/26/2017 12:39,MDT,10/26/2017 13:02,MDT,0:22:58,0:22:25,2.206777,0.0,0.27699999999999997,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.742420200000005,-111.98172,USD,,Plug Out at Vehicle,84081.0
118612,212307,1187191.0,121063171,4.3.4.3 Build 83411 CT4knandflash,,,,,10/26/2017 12:39,MDT,10/26/2017 12:44,MDT,5.999,4.9910000000000005,0.41864399999999996,2,,,,,,,,,,,,,,,,,,,,,,,,,
118613,212307,1187191.0,121063171,4.3.4.3 Build 83411 CT4knandflash,,,,,10/26/2017 12:45,MDT,10/26/2017 12:59,MDT,5.996,5.968,1.491883,2,,,,,,,,,,,,,,,,,,,,,,,,,
118614,212307,1187191.0,121063171,4.3.4.3 Build 83411 CT4knandflash,,,,,10/26/2017 13:00,MDT,10/26/2017 13:02,MDT,5.997999999999999,6.06,0.29625,2,,,,,,,,,,,,,,,,,,,,,,,,,
118615,212307,1187191.0,121063171,4.3.4.3 Build 83411 CT4knandflash,,,10/26/2017 13:02,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
120508,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,10/18/2017 13:26,MDT,,,10/18/2017 13:26,MDT,,,,,,1,PACKSIZE / CLEAN AIR 12,0024:B100:0002:7D8B,Leaders For Clean Air,10/18/2017 13:26,MDT,10/18/2017 15:32,MDT,2:05:06,2:04:37,4.1082220000000005,0.0,0.516,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74254608,-111.98122409999999,USD,,Plug Out at Vehicle,84081.0
120509,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 13:26,MDT,10/18/2017 13:29,MDT,5.597,4.217,0.216707,1,,,,,,,,,,,,,,,,,,,,,,,,,
120510,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 13:30,MDT,10/18/2017 13:44,MDT,5.608,5.575,1.393783,1,,,,,,,,,,,,,,,,,,,,,,,,,
120511,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 13:45,MDT,10/18/2017 13:59,MDT,5.62,5.096,1.273945,1,,,,,,,,,,,,,,,,,,,,,,,,,
120512,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 14:00,MDT,10/18/2017 14:14,MDT,3.128,1.13,0.282537,1,,,,,,,,,,,,,,,,,,,,,,,,,
120513,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 14:15,MDT,10/18/2017 14:29,MDT,0.787,0.748,0.18693800000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,
120514,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 14:30,MDT,10/18/2017 14:44,MDT,0.778,0.733,0.183259,1,,,,,,,,,,,,,,,,,,,,,,,,,
120515,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 14:45,MDT,10/18/2017 14:59,MDT,0.7609999999999999,0.733,0.18321800000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,
120516,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 15:00,MDT,10/18/2017 15:14,MDT,0.773,0.723,0.180789,1,,,,,,,,,,,,,,,,,,,,,,,,,
120517,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 15:15,MDT,10/18/2017 15:29,MDT,0.785,0.731,0.182635,1,,,,,,,,,,,,,,,,,,,,,,,,,
120518,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 15:30,MDT,10/18/2017 15:32,MDT,0.767,0.7090000000000001,0.024411000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,
120519,210209,1187191.0,116138641,4.3.4.3 Build 83411 CT4knandflash,,,10/18/2017 15:32,MDT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
120520,210209,1187191.0,116132001,4.3.4.3 Build 83411 CT4knandflash,10/18/2017 13:16,MDT,,,10/18/2017 13:16,MDT,,,,,,1,PACKSIZE / CLEAN AIR 12,0024:B100:0002:7D8B,Leaders For Clean Air,10/18/2017 13:16,MDT,10/18/2017 13:18,MDT,0:01:59,0:00:00,0.0,0.0,0.0,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74254608,-111.98122409999999,USD,,Timeout,84081.0
120521,210209,1187191.0,116132001,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 19:16,UTC,10/18/2017 13:18,MDT,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
120522,210209,1187191.0,116132001,4.3.4.3 Build 83411 CT4knandflash,,,10/18/2017 13:18,MDT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
120523,210209,1187191.0,116129531,4.3.4.3 Build 83411 CT4knandflash,10/18/2017 13:13,MDT,,,10/18/2017 13:13,MDT,,,,,,1,PACKSIZE / CLEAN AIR 12,0024:B100:0002:7D8B,Leaders For Clean Air,10/18/2017 13:13,MDT,10/18/2017 13:15,MDT,0:01:59,0:00:00,0.0,0.0,0.0,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74254608,-111.98122409999999,USD,,Timeout,84081.0
120524,210209,1187191.0,116129531,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 19:13,UTC,10/18/2017 13:15,MDT,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
120525,210209,1187191.0,116129531,4.3.4.3 Build 83411 CT4knandflash,,,10/18/2017 13:15,MDT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
120526,210209,1187191.0,116126621,4.3.4.3 Build 83411 CT4knandflash,10/18/2017 13:11,MDT,,,10/18/2017 13:11,MDT,,,,,,2,PACKSIZE / CLEAN AIR 12,0024:B100:0002:7D8B,Leaders For Clean Air,10/18/2017 13:11,MDT,10/18/2017 13:12,MDT,0:00:33,0:00:00,0.0,0.0,0.0,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74254608,-111.98122409999999,USD,,Plug Out at Vehicle,84081.0
120527,210209,1187191.0,116126621,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 13:11,MDT,10/18/2017 13:12,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
120528,210209,1187191.0,116126621,4.3.4.3 Build 83411 CT4knandflash,,,10/18/2017 13:12,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
120529,210209,1187191.0,116125311,4.3.4.3 Build 83411 CT4knandflash,10/18/2017 13:09,MDT,,,10/18/2017 13:09,MDT,,,,,,2,PACKSIZE / CLEAN AIR 12,0024:B100:0002:7D8B,Leaders For Clean Air,10/18/2017 13:09,MDT,10/18/2017 13:10,MDT,0:00:57,0:00:00,0.0,0.0,0.0,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74254608,-111.98122409999999,USD,,Plug Out at Vehicle,84081.0
120530,210209,1187191.0,116125311,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 13:09,MDT,10/18/2017 13:10,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
120531,210209,1187191.0,116125311,4.3.4.3 Build 83411 CT4knandflash,,,10/18/2017 13:10,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
120532,210209,1187191.0,116124321,4.3.4.3 Build 83411 CT4knandflash,10/18/2017 13:08,MDT,,,10/18/2017 13:08,MDT,,,,,,2,PACKSIZE / CLEAN AIR 12,0024:B100:0002:7D8B,Leaders For Clean Air,10/18/2017 13:08,MDT,10/18/2017 13:09,MDT,0:01:02,0:00:00,0.0,0.0,0.0,Level 2,3760 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74254608,-111.98122409999999,USD,,Plug Out at Vehicle,84081.0
120533,210209,1187191.0,116124321,4.3.4.3 Build 83411 CT4knandflash,,,,,10/18/2017 13:08,MDT,10/18/2017 13:09,MDT,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
120534,210209,1187191.0,116124321,4.3.4.3 Build 83411 CT4knandflash,,,10/18/2017 13:09,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
