,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
524,210241,2445161.0,320623631,4.3.5.60,10/30/2018 10:42,MDT,,,10/30/2018 10:42,MDT,,,,,,2,PACKSIZE / CLEAN AIR 14,0024:B100:0002:7D51,Leaders For Clean Air,10/30/2018 10:42,MDT,10/30/2018 11:20,MDT,0:38:09,0:37:33,1.943445,0.0,0.244,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74231339,-111.98107150000001,USD,,Plug Out at Vehicle,84074.0
525,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 10:42,MDT,10/30/2018 10:44,MDT,3.155,2.37,0.092804,2,,,,,,,,,,,,,,,,,,,,,,,,,
526,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 10:45,MDT,10/30/2018 10:59,MDT,3.147,3.125,0.781337,2,,,,,,,,,,,,,,,,,,,,,,,,,
527,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 11:00,MDT,10/30/2018 11:14,MDT,3.1430000000000002,3.1010000000000004,0.775229,2,,,,,,,,,,,,,,,,,,,,,,,,,
528,210241,2445161.0,320623631,4.3.5.60,,,,,10/30/2018 11:15,MDT,10/30/2018 11:20,MDT,3.048,3.069,0.294075,2,,,,,,,,,,,,,,,,,,,,,,,,,
529,210241,2445161.0,320623631,4.3.5.60,,,10/30/2018 11:20,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
570,210241,672723.0,320493491,4.3.5.60,10/30/2018 8:51,MDT,,,10/30/2018 8:51,MDT,,,,,,1,PACKSIZE / CLEAN AIR 14,0024:B100:0002:7D51,Leaders For Clean Air,10/30/2018 8:51,MDT,10/30/2018 18:15,MDT,9:24:07,5:34:57,32.112881,0.0,4.03,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74231339,-111.98107150000001,USD,,Plug Out at Vehicle,84087.0
571,210241,672723.0,320493491,4.3.5.60,,,,,10/30/2018 8:51,MDT,10/30/2018 8:59,MDT,6.037000000000001,5.377999999999999,0.760352,1,,,,,,,,,,,,,,,,,,,,,,,,,
572,210241,672723.0,320493491,4.3.5.60,,,,,10/30/2018 9:00,MDT,10/30/2018 9:14,MDT,6.04,6.01,1.502564,1,,,,,,,,,,,,,,,,,,,,,,,,,
573,210241,672723.0,320493491,4.3.5.60,,,,,10/30/2018 9:15,MDT,10/30/2018 9:29,MDT,6.047000000000001,6.013999999999999,1.503454,1,,,,,,,,,,,,,,,,,,,,,,,,,
