,EVSE ID,Port,Station Name,Plug In Event Id,Plug Connect Time,Plug Disconnect Time,Power Start Time,Power End Time,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Start Time,End Time,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Gasoline Savings,Port Type,Address 1,City,State/Province,Postal Code,Country,Latitude,Longitude,Ended By,Driver Postal Code
241,212307,2,PACKSIZE / CLEAN AIR 1,321164241,2018-10-31 07:38:00,,2018-10-31 07:38:00,,,,,2018-10-31 07:38:00,2018-10-31 16:30:00,0 days 08:52:34.000000000,0 days 03:52:29.000000000,11.902869,1.494,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.742420200000005,-111.98172,Plug Out at Vehicle,84104.0
242,212307,2,,321164241,,,2018-10-31 07:38:00,2018-10-31 07:44:00,3.127,2.9989999999999997,0.34820500000000004,,,,,,,,,,,,,,,,
243,212307,2,,321164241,,,2018-10-31 07:45:00,2018-10-31 07:59:00,3.215,3.168,0.7920020000000001,,,,,,,,,,,,,,,,
244,212307,2,,321164241,,,2018-10-31 08:00:00,2018-10-31 08:14:00,3.181,3.1319999999999997,0.7830159999999999,,,,,,,,,,,,,,,,
245,212307,2,,321164241,,,2018-10-31 08:15:00,2018-10-31 08:29:00,3.153,3.112,0.778099,,,,,,,,,,,,,,,,
246,212307,2,,321164241,,,2018-10-31 08:30:00,2018-10-31 08:44:00,3.138,3.093,0.773162,,,,,,,,,,,,,,,,
247,212307,2,,321164241,,,2018-10-31 08:45:00,2018-10-31 08:59:00,3.123,3.094,0.773371,,,,,,,,,,,,,,,,
248,212307,2,,321164241,,,2018-10-31 09:00:00,2018-10-31 09:14:00,3.158,3.1,0.774883,,,,,,,,,,,,,,,,
249,212307,2,,321164241,,,2018-10-31 09:15:00,2018-10-31 09:29:00,3.117,3.103,0.775718,,,,,,,,,,,,,,,,
250,212307,2,,321164241,,,2018-10-31 09:30:00,2018-10-31 09:44:00,3.182,3.128,0.781892,,,,,,,,,,,,,,,,
251,212307,2,,321164241,,,2018-10-31 09:45:00,2018-10-31 09:59:00,3.185,3.1439999999999997,0.785925,,,,,,,,,,,,,,,,
252,212307,2,,321164241,,,2018-10-31 10:00:00,2018-10-31 10:14:00,3.1519999999999997,3.1319999999999997,0.783094,,,,,,,,,,,,,,,,
253,212307,2,,321164241,,,2018-10-31 10:15:00,2018-10-31 10:29:00,3.148,3.133,0.78327,,,,,,,,,,,,,,,,
254,212307,2,,321164241,,,2018-10-31 10:30:00,2018-10-31 10:44:00,3.158,3.141,0.785275,,,,,,,,,,,,,,,,
255,212307,2,,321164241,,,2018-10-31 10:45:00,2018-10-31 10:59:00,3.1489999999999996,3.1319999999999997,0.78301,,,,,,,,,,,,,,,,
256,212307,2,,321164241,,,2018-10-31 11:00:00,2018-10-31 11:14:00,3.179,3.1310000000000002,0.78266,,,,,,,,,,,,,,,,
257,212307,2,,321164241,,,2018-10-31 11:15:00,2018-10-31 11:29:00,3.147,2.435,0.608851,,,,,,,,,,,,,,,,
