,EVSE ID,Port,Station Name,Plug In Event Id,Plug Connect Time,Plug Disconnect Time,Power Start Time,Power End Time,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Start Time,End Time,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Gasoline Savings,Port Type,Address 1,City,State/Province,Postal Code,Country,Latitude,Longitude,Ended By,Driver Postal Code
13,204591,2,PACKSIZE / CLEAN AIR 3,321297211,2018-10-31 09:53:00,,2018-10-31 09:53:00,,,,,2018-10-31 09:53:00,2018-10-31 12:01:00,0 days 02:08:17.000000000,0 days 01:47:11.000000000,9.904447,1.2429999999999999,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.74237823,-111.98140719999999,CPS Server,84054.0
14,204591,2,,321297211,,,2018-10-31 09:53:00,2018-10-31 09:59:00,6.1370000000000005,5.812,0.674776,,,,,,,,,,,,,,,,
15,204591,2,,321297211,,,2018-10-31 10:00:00,2018-10-31 10:14:00,6.0729999999999995,5.995,1.498686,,,,,,,,,,,,,,,,
16,204591,2,,321297211,,,2018-10-31 10:15:00,2018-10-31 10:29:00,6.035,6.013999999999999,1.5035040000000002,,,,,,,,,,,,,,,,
17,204591,2,,321297211,,,2018-10-31 10:30:00,2018-10-31 10:44:00,6.0729999999999995,5.999,1.4998209999999998,,,,,,,,,,,,,,,,
18,204591,2,,321297211,,,2018-10-31 10:45:00,2018-10-31 10:59:00,6.041,5.981,1.4951219999999998,,,,,,,,,,,,,,,,
19,204591,2,,321297211,,,2018-10-31 11:00:00,2018-10-31 11:14:00,6.047999999999999,5.978,1.4945190000000002,,,,,,,,,,,,,,,,
20,204591,2,,321297211,,,2018-10-31 11:15:00,2018-10-31 11:29:00,6.068,5.896,1.473867,,,,,,,,,,,,,,,,
21,204591,2,,321297211,,,2018-10-31 11:30:00,2018-10-31 11:44:00,3.562,1.057,0.264152,,,,,,,,,,,,,,,,
22,204591,2,,321297211,,,2018-10-31 11:45:00,2018-10-31 11:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
23,204591,2,,321297211,,,2018-10-31 12:00:00,2018-10-31 12:01:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
24,204591,2,,321297211,,2018-10-31 12:01:00,,,,,,,,,,,,,,,,,,,,,
953,204591,2,PACKSIZE / CLEAN AIR 3,319935511,2018-10-29 11:28:00,,2018-10-29 11:28:00,,,,,2018-10-29 11:28:00,2018-10-29 14:14:00,0 days 02:46:39.000000000,0 days 02:46:26.000000000,9.944473,1.248,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.74237823,-111.98140719999999,Plug Out at Vehicle,84111.0
954,204591,2,,319935511,,,2018-10-29 11:28:00,2018-10-29 11:29:00,6.002000000000001,4.527,0.14208800000000002,,,,,,,,,,,,,,,,
955,204591,2,,319935511,,,2018-10-29 11:30:00,2018-10-29 11:44:00,5.995,5.966,1.491507,,,,,,,,,,,,,,,,
956,204591,2,,319935511,,,2018-10-29 11:45:00,2018-10-29 11:59:00,6.037999999999999,5.9879999999999995,1.497099,,,,,,,,,,,,,,,,
957,204591,2,,319935511,,,2018-10-29 12:00:00,2018-10-29 12:14:00,6.06,6.011,1.502666,,,,,,,,,,,,,,,,
958,204591,2,,319935511,,,2018-10-29 12:15:00,2018-10-29 12:29:00,6.0329999999999995,5.987,1.496686,,,,,,,,,,,,,,,,
959,204591,2,,319935511,,,2018-10-29 12:30:00,2018-10-29 12:44:00,6.002999999999999,5.957999999999999,1.489493,,,,,,,,,,,,,,,,
960,204591,2,,319935511,,,2018-10-29 12:45:00,2018-10-29 12:59:00,5.972,5.935,1.483811,,,,,,,,,,,,,,,,
961,204591,2,,319935511,,,2018-10-29 13:00:00,2018-10-29 13:14:00,5.9110000000000005,3.37,0.842408,,,,,,,,,,,,,,,,
962,204591,2,,319935511,,,2018-10-29 13:15:00,2018-10-29 13:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
963,204591,2,,319935511,,,2018-10-29 13:30:00,2018-10-29 13:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
964,204591,2,,319935511,,,2018-10-29 13:45:00,2018-10-29 13:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
965,204591,2,,319935511,,,2018-10-29 14:00:00,2018-10-29 14:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
966,204591,2,,319935511,,2018-10-29 14:14:00,,,,,,,,,,,,,,,,,,,,,
998,204591,2,PACKSIZE / CLEAN AIR 3,319845501,2018-10-29 09:55:00,,2018-10-29 09:55:00,,,,,2018-10-29 09:55:00,2018-10-29 11:26:00,0 days 01:30:11.000000000,0 days 01:30:06.000000000,8.882916999999999,1.115,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.74237823,-111.98140719999999,Plug Out at Vehicle,84111.0
999,204591,2,,319845501,,,2018-10-29 09:55:00,2018-10-29 09:59:00,5.968,5.631,0.39728,,,,,,,,,,,,,,,,
1000,204591,2,,319845501,,,2018-10-29 10:00:00,2018-10-29 10:14:00,5.936,5.906000000000001,1.476443,,,,,,,,,,,,,,,,
1001,204591,2,,319845501,,,2018-10-29 10:15:00,2018-10-29 10:29:00,5.949,5.931,1.482808,,,,,,,,,,,,,,,,
1002,204591,2,,319845501,,,2018-10-29 10:30:00,2018-10-29 10:44:00,5.952000000000001,5.9,1.474918,,,,,,,,,,,,,,,,
1003,204591,2,,319845501,,,2018-10-29 10:45:00,2018-10-29 10:59:00,5.961,5.932,1.482974,,,,,,,,,,,,,,,,
1004,204591,2,,319845501,,,2018-10-29 11:00:00,2018-10-29 11:14:00,5.977,5.9510000000000005,1.487674,,,,,,,,,,,,,,,,
1005,204591,2,,319845501,,,2018-10-29 11:15:00,2018-10-29 11:26:00,5.992000000000001,5.895,1.0808209999999998,,,,,,,,,,,,,,,,
1006,204591,2,,319845501,,2018-10-29 11:26:00,,,,,,,,,,,,,,,,,,,,,
