,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
0,2017-07-21 15:58:00,MDT,2017-07-21 16:39:00,MDT,0 days 00:41:07.000000000,0 days 00:41:00.000000000,24.112,10.127,3.0260000000000002,DC Fast,1,Combo,158787,,Plug Out at Station,4,41%,76%
1,2017-08-07 11:26:00,MDT,2017-08-07 12:55:00,MDT,0 days 01:29:03.000000000,0 days 01:28:56.000000000,19.47,8.177,2.443,DC Fast,1,Combo,158787,,Customer,5,7%,100%
2,2017-08-07 12:57:00,MDT,2017-08-07 13:00:00,MDT,0 days 00:02:42.000000000,0 days 00:00:27.000000000,0.0,0.0,0.0,DC Fast,1,Combo,158787,,Customer,6,100%,0%
3,2017-08-07 13:02:00,MDT,2017-08-07 13:02:00,MDT,0 days 00:00:20.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,DC Fast,1,Combo,158787,,Customer,7,0%,0%
4,2017-08-07 13:02:00,MDT,2017-08-07 13:03:00,MDT,0 days 00:01:10.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,DC Fast,1,Combo,158787,,Customer,8,0%,0%
5,2017-08-07 13:05:00,MDT,2017-08-07 13:05:00,MDT,0 days 00:00:36.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,DC Fast,1,Combo,158787,,Customer,9,0%,0%
6,2017-08-07 13:07:00,MDT,2017-08-07 13:09:00,MDT,0 days 00:02:27.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,DC Fast,1,Combo,158787,,Plug Out at Station,10,0%,0%
7,2017-08-07 13:11:00,MDT,2017-08-07 13:13:00,MDT,0 days 00:02:12.000000000,0 days 00:01:32.000000000,0.10800000000000001,0.045,0.013999999999999999,DC Fast,1,Combo,158787,,Customer,11,99%,99%
8,2017-08-07 13:13:00,MDT,2017-08-07 13:14:00,MDT,0 days 00:00:21.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,,0,,158787,,Customer,12,,0%
9,2017-08-07 13:14:00,MDT,2017-08-07 13:14:00,MDT,0 days 00:00:33.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,DC Fast,1,Combo,158787,,Customer,13,0%,0%
10,2017-08-08 08:49:00,MDT,2017-08-08 09:37:00,MDT,0 days 00:47:07.000000000,0 days 00:47:00.000000000,17.428,7.32,2.187,DC Fast,1,Combo,158787,,Plug Out at Station,14,7%,96%
11,2017-08-11 14:14:00,MDT,2017-08-11 15:23:00,MDT,0 days 01:09:13.000000000,0 days 01:08:40.000000000,36.524,15.34,4.584,DC Fast,1,Combo,158787,,Plug Out at Station,15,32%,86%
12,2017-08-11 22:23:00,MDT,2017-08-11 22:54:00,MDT,0 days 00:30:31.000000000,0 days 00:30:20.000000000,15.815,6.642,1.985,DC Fast,1,Combo,158787,,Plug Out at Station,16,4%,84%
13,2017-08-16 00:06:00,MDT,2017-08-16 00:42:00,MDT,0 days 00:36:28.000000000,0 days 00:36:12.000000000,16.51,6.934,2.072,DC Fast,1,Combo,158787,,Plug Out at Station,17,6%,90%
14,2017-08-22 17:51:00,MDT,2017-08-22 18:47:00,MDT,0 days 00:55:49.000000000,0 days 00:52:56.000000000,17.904,7.52,2.247,DC Fast,1,CHAdeMO,158787,,Plug Out at Station,1503445879,2%,96%
15,2017-08-29 16:05:00,MDT,2017-08-29 16:55:00,MDT,0 days 00:50:11.000000000,0 days 00:49:28.000000000,23.248,9.764,2.918,DC Fast,1,Combo,158787,,Plug Out at Station,18,51%,85%
16,2017-09-03 12:49:00,MDT,2017-09-03 14:08:00,MDT,0 days 01:18:50.000000000,0 days 01:18:32.000000000,40.159,16.867,5.04,DC Fast,1,Combo,158787,,Plug Out at Station,1504464559,34%,91%
17,2017-09-04 19:39:00,MDT,2017-09-04 20:52:00,MDT,0 days 01:12:50.000000000,0 days 01:12:28.000000000,44.619,18.74,5.6,DC Fast,1,Combo,158787,,Plug Out at Station,1504575557,13%,81%
18,2017-09-19 19:25:00,MDT,2017-09-19 20:08:00,MDT,0 days 00:43:36.000000000,0 days 00:43:32.000000000,25.164,10.569,3.158,DC Fast,1,Combo,158787,,Customer,19,18%,98%
19,2017-09-23 09:20:00,MDT,2017-09-23 10:25:00,MDT,0 days 01:04:28.000000000,0 days 01:04:11.000000000,38.398,16.127,4.819,DC Fast,1,Combo,158787,,Plug Out at Station,1506180029,19%,81%
