,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
36,11/3/2018 9:12,MDT,11/3/2018 11:43,MDT,2:31:40,2:31:31,61.121,25.671,7.671,DC Fast,1B,Combo,158787,,Plug Out at Station,141,2%,100%
37,11/1/2018 19:35,MDT,11/1/2018 21:40,MDT,2:04:40,2:04:16,50.267,21.112,6.309,DC Fast,1B,Combo,158787,,Plug Out at Station,140,16%,100%
38,11/1/2018 18:04,MDT,11/1/2018 19:02,MDT,0:58:03,0:57:56,36.767,15.442,4.614,DC Fast,1B,Combo,158787,,Plug Out at Station,139,15%,76%
39,10/31/2018 13:45,MDT,10/31/2018 15:35,MDT,1:50:23,1:49:47,53.543,22.488,6.72,DC Fast,1B,Combo,158787,,Plug Out at Station,138,4%,93%
40,10/30/2018 21:32,MDT,10/30/2018 21:48,MDT,0:16:24,0:16:12,11.953,5.02,1.5,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,137,58%,72%
41,10/30/2018 16:54,MDT,10/30/2018 19:01,MDT,2:07:51,2:07:11,48.502,20.371,6.087,DC Fast,1B,Combo,158787,,Plug Out at Station,1540940034,21%,100%
42,10/26/2018 14:45,MDT,10/26/2018 15:10,MDT,0:25:18,0:24:12,8.503,3.571,1.067,DC Fast,1B,Combo,158787,,Plug Out at Station,1540586705,75%,88%
43,10/26/2018 14:26,MDT,10/26/2018 14:29,MDT,0:03:14,0:02:36,0.991,0.416,0.124,DC Fast,1B,Combo,158787,,Outlet Offline,136,73%,74%
44,10/26/2018 14:17,MDT,10/26/2018 14:22,MDT,0:05:34,0:04:56,2.174,0.913,0.273,DC Fast,1B,Combo,158787,,Outlet Offline,135,69%,72%
45,10/26/2018 13:37,MDT,10/26/2018 14:13,MDT,0:35:42,0:35:00,24.03,10.093,3.016,DC Fast,1B,Combo,158787,,Outlet Offline,134,28%,68%
46,10/26/2018 13:25,MDT,10/26/2018 13:36,MDT,0:11:24,0:11:19,0,0,0,DC Fast,1B,Combo,158787,,Plug Out at Station,133,26%,26%
47,10/26/2018 13:16,MDT,10/26/2018 13:17,MDT,0:00:46,0:00:08,0,0,0,DC Fast,1B,Combo,158787,,Customer,132,26%,26%
48,10/25/2018 14:19,MDT,10/25/2018 15:07,MDT,0:48:32,0:48:19,26.012,10.925,3.265,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,131,9%,94%
49,10/20/2018 19:29,MDT,10/20/2018 20:06,MDT,0:36:42,0:36:00,14.856,6.24,1.864,DC Fast,1B,Combo,158787,,Plug Out at Station,130,63%,85%
50,10/20/2018 18:42,MDT,10/20/2018 19:24,MDT,0:42:46,0:42:08,30.318,12.734,3.805,DC Fast,1B,Combo,158787,,Outlet Offline,129,15%,63%
51,10/20/2018 17:30,MDT,10/20/2018 18:40,MDT,1:09:54,1:09:40,41.638,17.488,5.226,DC Fast,1B,Combo,158787,,Plug Out at Station,128,16%,81%
52,10/19/2018 13:28,MDT,10/19/2018 14:30,MDT,1:02:16,1:01:52,36.953,15.52,4.638,DC Fast,1B,Combo,158787,,Plug Out at Station,127,20%,81%
53,10/19/2018 11:38,MDT,10/19/2018 12:45,MDT,1:07:23,1:07:12,36.238,15.22,4.548,DC Fast,1B,Combo,158787,,Customer,126,28%,85%
54,10/19/2018 11:35,MDT,10/19/2018 11:37,MDT,0:02:28,0:00:04,0,0,0,DC Fast,1B,Combo,158787,,Customer,125,0%,0%
55,10/10/2018 20:47,MDT,10/10/2018 21:19,MDT,0:32:02,0:31:36,21.686,9.108,2.722,DC Fast,1B,Combo,158787,,Plug Out at Station,124,27%,65%
56,10/10/2018 20:45,MDT,10/10/2018 20:46,MDT,0:01:16,0:00:32,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,123,0%,0%
57,10/8/2018 13:28,MDT,10/8/2018 14:11,MDT,0:42:32,0:42:16,21.274,8.935,2.67,DC Fast,1B,Combo,158787,,Plug Out at Station,122,43%,80%
58,10/6/2018 15:45,MDT,10/6/2018 16:45,MDT,0:59:44,0:59:27,16.995,7.138,2.133,DC Fast,1B,Combo,158787,,Plug Out at Station,121,10%,99%
59,10/6/2018 13:41,MDT,10/6/2018 13:53,MDT,0:12:25,0:11:36,8.102,3.403,1.017,DC Fast,1B,Combo,158787,,Plug Out at Station,120,6%,50%
60,10/6/2018 10:18,MDT,10/6/2018 11:20,MDT,1:02:05,1:01:28,29.815,12.522,3.742,DC Fast,1B,Combo,158787,,Plug Out at Station,1538842702,37%,85%
61,10/6/2018 10:10,MDT,10/6/2018 10:10,MDT,0:00:22,0:00:12,0,0,0,DC Fast,1B,Combo,158787,,Customer,119,0%,0%
62,9/30/2018 19:08,MDT,9/30/2018 20:00,MDT,0:51:48,0:51:31,29.65,12.453,3.721,DC Fast,1B,Combo,158787,,Customer,118,32%,80%
63,9/28/2018 17:44,MDT,9/28/2018 18:27,MDT,0:42:55,0:42:43,28.373,11.917,3.561,DC Fast,1B,Combo,158787,,Customer,117,5%,95%
64,9/27/2018 16:41,MDT,9/27/2018 17:35,MDT,0:54:31,0:54:04,18.892,7.935,2.371,DC Fast,1B,Combo,158787,,Plug Out at Station,116,4%,99%
65,9/26/2018 14:34,MDT,9/26/2018 15:17,MDT,0:43:12,0:42:56,26.794,11.253,3.363,DC Fast,1B,Combo,158787,,Customer,115,12%,98%
66,9/16/2018 13:45,MDT,9/16/2018 13:46,MDT,0:00:57,0:00:04,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,114,0%,100%
67,9/16/2018 13:22,MDT,9/16/2018 13:25,MDT,0:02:56,0:00:51,0,0,0,DC Fast,1B,Combo,158787,,Timeout,113,98%,98%
68,9/16/2018 11:52,MDT,9/16/2018 13:21,MDT,1:28:47,1:28:39,35.247,14.804,4.423,DC Fast,1B,Combo,158787,,Customer,112,39%,98%
69,9/11/2018 17:59,MDT,9/11/2018 18:13,MDT,0:14:27,0:14:15,3.6,1.512,0.452,DC Fast,1B,Combo,158787,,Customer,111,89%,94%
70,9/11/2018 17:25,MDT,9/11/2018 17:42,MDT,0:16:22,0:15:44,5.038,2.116,0.632,DC Fast,1B,Combo,158787,,Outlet Offline,110,82%,89%
71,9/11/2018 17:09,MDT,9/11/2018 17:18,MDT,0:09:14,0:08:32,3.515,1.476,0.441,DC Fast,1B,Combo,158787,,Outlet Offline,109,76%,81%
72,9/11/2018 15:43,MDT,9/11/2018 16:48,MDT,1:05:10,1:04:28,37.794,15.873,4.743,DC Fast,1B,Combo,158787,,Outlet Offline,108,12%,75%
73,9/8/2018 12:09,MDT,9/8/2018 13:09,MDT,0:59:23,0:56:44,31.922,13.407,4.006,DC Fast,1B,Combo,158787,,Timeout,107,28%,81%
74,9/5/2018 14:01,MDT,9/5/2018 15:35,MDT,1:33:58,1:33:51,51.559,21.655,6.471,DC Fast,1B,Combo,158787,,Customer,106,9%,88%
75,9/3/2018 19:42,MDT,9/3/2018 20:59,MDT,1:16:41,1:16:08,37.723,15.844,4.734,DC Fast,1B,Combo,158787,,Plug Out at Station,105,28%,89%
76,9/3/2018 13:53,MDT,9/3/2018 14:29,MDT,0:36:27,0:36:00,23.324,9.796,2.927,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,104,3%,97%
77,9/1/2018 18:05,MDT,9/1/2018 18:45,MDT,0:40:01,0:39:52,16.417,6.895,2.06,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,1535846723,11%,100%
78,9/1/2018 11:55,MDT,9/1/2018 13:00,MDT,1:05:33,1:04:40,22.297,9.365,2.798,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,103,5%,96%
79,8/31/2018 20:45,MDT,8/31/2018 21:38,MDT,0:52:44,0:52:12,29.29,12.302,3.676,DC Fast,1B,Combo,158787,,Plug Out at Station,102,34%,81%
80,8/29/2018 11:31,MDT,8/29/2018 12:49,MDT,1:18:08,1:18:00,41.738,17.53,5.238,DC Fast,1B,Combo,158787,,Plug Out at Station,101,21%,88%
81,8/27/2018 12:53,MDT,8/27/2018 14:15,MDT,1:22:20,1:21:44,41.566,17.458,5.217,DC Fast,1B,Combo,158787,,Customer,100,22%,90%
82,8/26/2018 16:51,MDT,8/26/2018 17:17,MDT,0:26:28,0:26:19,12.33,5.179,1.547,DC Fast,1B,Combo,158787,,Plug Out at Station,99,60%,80%
